[16-04-2023 18:25:37.768] [INFO] Found mod CorgiLib-fabric-1.19.2-1.0.0.32.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.768] [INFO] Found mod Controlling-fabric-1.19.2-10.0+7.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.769] [INFO] Found mod resourcefulconfig-fabric-1.19.2-1.0.20.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.769] [INFO] Found mod yosbr-0.1.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.769] [INFO] Found mod culinaryconstruct-fabric-5.0.0+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.769] [INFO] Found mod BetterThirdPerson-Fabric-1.19-1.9.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.770] [INFO] Found mod midnightlib-fabric-1.0.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.770] [INFO] Found mod chat_heads-0.10.9-fabric-1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.770] [INFO] Found mod Powah-4.0.8.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.770] [INFO] Found mod comforts-fabric-6.0.4+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.770] [INFO] Found mod trinkets-3.4.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.771] [INFO] Found mod CraftPresence-2.0.0-rc.2+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.771] [INFO] Found mod EnchantmentDescriptions-Fabric-1.19.2-13.0.14.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.771] [INFO] Found mod appleskin-fabric-mc1.19-2.4.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.771] [INFO] Found mod theoneprobe-fabric-1.19-6.2.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.772] [INFO] Found mod geckolib-fabric-1.19-3.1.40.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.772] [INFO] Found mod eating-animation-1.9.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.772] [INFO] Found mod architectury-6.5.77-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.772] [INFO] Found mod oculus-1.5.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.773] [INFO] Found mod ftb-quests-fabric-1902.4.11-build.207.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.773] [INFO] Found mod cleancut-1.19.2-5.1-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.773] [INFO] Found mod polylib-fabric-1900.0.2-build.73.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.773] [INFO] Found mod rhino-fabric-1902.2.2-build.268.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.773] [INFO] Found mod merequester-1.19.2-1.1.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.774] [INFO] Found mod fabric-experiencebugfix-1.19-19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.774] [INFO] Found mod ironchests-3.1.1-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.774] [INFO] Found mod lazydfu-0.1.3.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.774] [INFO] Found mod continuity-2.0.2+1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.775] [INFO] Found mod modmenu-4.1.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.775] [INFO] Found mod Clumps-fabric-1.19.2-9.0.0+14.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.775] [INFO] Found mod item-filters-fabric-1902.2.9-build.46.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.775] [INFO] Found mod charmofundying-fabric-6.1.1+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.775] [INFO] Found mod extended-armor-bars-1.2.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.776] [INFO] Found mod right-click-harvest-3.1.0+1.19-1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.776] [INFO] Found mod botarium-fabric-1.19.2-1.8.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.776] [INFO] Found mod lithium-fabric-mc1.19.2-0.11.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.776] [INFO] Found mod bwncr-fabric-1.19.2-3.14.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.777] [INFO] Found mod FpsReducer2-fabric-1.19.2-2.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.777] [INFO] Found mod extraorigins-1.19-2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.777] [INFO] Found mod spiceoffabric-1.6.0-beta.4+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.777] [INFO] Found mod Decorative Blocks-fabric-1.19.2-3.0.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.777] [INFO] Found mod Iceberg-1.19.1-fabric-1.0.46.jar on the drive! Added to Verification queue.
